product_id,transaction_id,customer_id,quantity_stock,expiry_date,price,product_name,total_revenue,payment_method,purchase_date,,,,
1,T000000,C4853,1,25-08-2025,1300,Toys,150.15,Gift Card,8/23/2024,,,,
2,T000001,C5982,2,26-08-2025,1300,Toys,98.75,Credit Card,8/16/2024,,Product__Name,Sum,Count
3,T000002,C5517,1,27-08-2025,1300,Beauty,13.56,Gift Card,12/24/2024,,Electronics,2042,2042
4,T000003,C1965,1,28-08-2025,1300,Clothing,18.73,Credit Card,08-12-2024,,Toys,1964,1964
5,T000004,C9636,2,29-08-2025,1300,Beauty,43.63,Crypto,7/14/2024,,Beauty,2049,2049
6,T000005,C7410,3,30-08-2025,1300,Beauty,59.4,Credit Card,11/14/2024,,Clothing,1979,1979
7,T000006,C5720,1,31-08-2025,1300,Electronics,212.83,Gift Card,3/28/2025,,Home,1966,1966
8,T000007,C2036,2,01-09-2025,1300,Electronics,22.94,PayPal,8/14/2024,,,,
9,T000008,C3177,2,02-09-2025,1300,Clothing,3.22,PayPal,6/26/2025,,,,
10,T000009,C1133,3,03-09-2025,1300,Clothing,53.62,Crypto,03-04-2025,,,,
11,T000010,C5127,2,04-09-2025,1300,Beauty,36.26,Gift Card,10-12-2024,,,,
12,T000011,C7091,1,05-09-2025,1310,Electronics,15.73,Gift Card,06-09-2025,,,,
13,T000012,C6980,2,06-09-2025,1310,Electronics,63.84,Gift Card,3/29/2025,,,,
14,T000013,C8944,3,07-09-2025,1310,Beauty,31.39,PayPal,7/22/2024,,,,
15,T000014,C1022,4,08-09-2025,1310,Home,132.01,Gift Card,09-01-2024,,,,
16,T000015,C9514,5,09-09-2025,1310,Toys,19.62,Crypto,10-08-2024,,,,
17,T000016,C8278,6,10-09-2025,1310,Clothing,11.1,Crypto,9/24/2024,,,,
18,T000017,C7206,1,11-09-2025,1310,Toys,38.36,Gift Card,4/13/2025,,,,
19,T000018,C2029,2,12-09-2025,1310,Beauty,19.15,Gift Card,7/21/2024,,,,
20,T000019,C2551,1,13-09-2025,1310,Clothing,49.87,Gift Card,1/31/2025,,,,
21,T000020,C9478,2,14-09-2025,1310,Toys,174.25,Crypto,4/29/2025,,,,
22,T000021,C6411,3,15-09-2025,1310,Electronics,14.88,Credit Card,10/17/2024,,,,
23,T000022,C5014,4,16-09-2025,1310,Electronics,19.83,Crypto,02-02-2025,,,,
24,T000023,C5198,5,17-09-2025,1310,Clothing,82.22,Credit Card,7/13/2024,,,,
25,T000024,C5779,6,18-09-2025,1310,Electronics,39.91,Crypto,01-08-2025,,,,
26,T000025,C6809,7,19-09-2025,1350,Clothing,26.09,PayPal,10-07-2024,,,,
27,T000026,C5682,8,20-09-2025,1350,Home,126.05,PayPal,07-03-2024,,,,
28,T000027,C5211,9,21-09-2025,1350,Beauty,159.71,PayPal,03-02-2025,,,,
29,T000028,C5126,1,22-09-2025,1350,Beauty,2.87,Credit Card,3/26/2025,,,,
30,T000029,C8987,2,23-09-2025,1350,Home,101.29,Gift Card,09-02-2024,,,,
31,T000030,C5860,3,24-09-2025,1350,Toys,43.28,Crypto,06-02-2025,,,,
32,T000031,C2757,4,25-09-2025,1000,Home,108.67,Gift Card,01-07-2025,,,,
33,T000032,C1230,5,26-09-2025,1000,Toys,64.06,Gift Card,07-02-2024,,,,
34,T000033,C5112,6,27-09-2025,1000,Toys,15.39,Credit Card,11-06-2024,,,,
35,T000034,C8383,7,28-09-2025,1000,Clothing,11.96,Gift Card,6/23/2025,,,,
36,T000035,C4577,8,29-09-2025,1000,Electronics,107.51,PayPal,4/30/2025,,,,
37,T000036,C4019,9,30-09-2025,1000,Home,91.8,Gift Card,10/13/2024,,,,
38,T000037,C4202,10,01-10-2025,1000,Toys,64.74,Gift Card,9/18/2024,,,,
39,T000038,C5778,11,02-10-2025,1000,Beauty,1.39,Gift Card,10/21/2024,,,,
40,T000039,C5373,12,03-10-2025,1000,Electronics,30.67,Credit Card,03-01-2025,,,,
41,T000040,C3444,13,04-10-2025,1000,Toys,80.75,Credit Card,9/28/2024,,,,
42,T000041,C7949,14,05-10-2025,2000,Clothing,1.66,PayPal,3/30/2025,,,,
43,T000042,C5622,15,06-10-2025,2000,Toys,52.65,Gift Card,08-10-2024,,,,
44,T000043,C5787,16,07-10-2025,2000,Beauty,31.66,Credit Card,02-06-2025,,,,
45,T000044,C6477,17,08-10-2025,2000,Beauty,23.56,Crypto,12/19/2024,,,,
46,T000045,C9711,18,09-10-2025,2000,Beauty,33.86,Gift Card,02-04-2025,,,,
47,T000046,C6183,19,10-10-2025,2000,Beauty,22.81,PayPal,03-08-2025,,,,
48,T000047,C9128,20,11-10-2025,2000,Clothing,77.56,PayPal,1/16/2025,,,,
49,T000048,C9664,21,12-10-2025,2000,Beauty,16.77,Gift Card,08-04-2024,,,,
50,T000049,C8294,22,13-10-2025,2000,Electronics,10.06,Gift Card,4/16/2025,,,,
51,T000050,C8601,23,14-10-2025,2000,Home,38.01,Credit Card,06-12-2025,,,,
52,T000051,C5376,24,15-10-2025,2000,Toys,149.56,PayPal,07-08-2024,,,,
53,T000052,C1260,25,16-10-2025,2000,Toys,58.06,PayPal,09-04-2024,,,,
54,T000053,C6384,26,17-10-2025,2000,Home,152.28,Credit Card,01-08-2025,,,,
55,T000054,C9721,27,18-10-2025,2000,Home,169.05,Crypto,1/18/2025,,,,
56,T000055,C9450,28,19-10-2025,2000,Clothing,20.37,Gift Card,9/16/2024,,,,
57,T000056,C2843,29,20-10-2025,2000,Electronics,354.6,Credit Card,7/27/2024,,,,
58,T000057,C8327,30,21-10-2025,2000,Clothing,32.33,Gift Card,09-04-2024,,,,
59,T000058,C5838,31,22-10-2025,2000,Beauty,94.82,Gift Card,01-01-2025,,,,
60,T000059,C4592,32,23-10-2025,2000,Clothing,47.54,PayPal,10/18/2024,,,,
61,T000060,C9417,33,24-10-2025,2000,Electronics,174.79,Credit Card,07-11-2024,,,,
62,T000061,C7083,34,25-10-2025,2000,Beauty,17.35,Crypto,05-07-2025,,,,
63,T000062,C8082,35,26-10-2025,2100,Toys,74.7,Crypto,3/15/2025,,,,
64,T000063,C1540,36,27-10-2025,2100,Beauty,37,PayPal,1/22/2025,,,,
65,T000064,C3180,37,28-10-2025,2100,Toys,0.8,Crypto,12/28/2024,,,,
66,T000065,C8317,38,29-10-2025,2100,Electronics,60.12,PayPal,10-03-2024,,,,
67,T000066,C5846,39,30-10-2025,2100,Home,21.08,Crypto,8/14/2024,,,,
68,T000067,C4273,40,31-10-2025,2100,Home,346.03,Credit Card,02-06-2025,,,,
69,T000068,C9739,41,01-11-2025,2100,Toys,69.72,Credit Card,10-07-2024,,,,
70,T000069,C5163,42,02-11-2025,2100,Clothing,18.39,PayPal,12/24/2024,,,,
71,T000070,C9724,43,03-11-2025,2100,Electronics,49.35,Gift Card,05-08-2025,,,,
72,T000071,C7948,44,04-11-2025,2100,Electronics,16.61,Crypto,11/25/2024,,,,
73,T000072,C8695,45,05-11-2025,2100,Clothing,52.76,PayPal,03-02-2025,,,,
74,T000073,C3808,46,06-11-2025,2100,Beauty,11.49,Crypto,11-02-2024,,,,
75,T000074,C5001,47,07-11-2025,2100,Beauty,220.31,Crypto,04-12-2025,,,,
76,T000075,C8310,48,08-11-2025,2100,Electronics,19.21,PayPal,7/16/2024,,,,
77,T000076,C9631,1,09-11-2025,2100,Electronics,56.59,Crypto,08-11-2024,,,,
78,T000077,C9335,2,10-11-2025,2100,Beauty,57.04,Credit Card,2/17/2025,,,,
79,T000078,C9424,3,11-11-2025,2100,Toys,271.18,Crypto,9/24/2024,,,,
80,T000079,C7973,4,12-11-2025,2100,Toys,79.15,Gift Card,03-02-2025,,,,
81,T000080,C8906,5,13-11-2025,2100,Beauty,122.22,PayPal,07-07-2024,,,,
82,T000081,C7825,6,14-11-2025,2100,Beauty,32.57,Credit Card,07-08-2024,,,,
83,T000082,C4306,7,15-11-2025,2100,Electronics,11.07,Crypto,7/24/2024,,,,
